Month	Year	Full-time	Part-time	Grand Total
1	1990	68,137	9,039	77,176
2	1990	68,725	9,273	77,998
3	1990	69,509	9,376	78,885
4	1990	69,713	9,326	79,039
5	1990	70,376	9,309	79,685
6	1990	71,258	9,369	80,627
7	1990	72,018	9,651	81,669
8	1990	72,513	9,694	82,207
9	1990	72,776	9,788	82,564
10	1990	73,111	9,737	82,848
11	1990	73,171	9,492	82,663
12	1990	73,726	9,507	83,233
1	1991	73,867	9,426	83,293
2	1991	73,490	9,934	83,424
3	1991	73,538	10,192	83,730
4	1991	74,075	10,246	84,321
5	1991	74,853	10,427	85,280
6	1991	75,683	10,716	86,399
7	1991	76,563	10,876	87,439
8	1991	76,887	11,029	87,916
9	1991	82,579	12,560	95,139
10	1991	82,722	12,785	95,507
11	1991	83,237	12,293	95,530
12	1991	83,561	12,531	96,092
1	1992	83,649	12,361	96,010
2	1992	83,428	12,741	96,169
3	1992	83,444	12,644	96,088
4	1992	83,514	12,880	96,394
5	1992	83,615	12,747	96,362
6	1992	84,149	12,953	97,102
7	1992	84,434	13,174	97,608
8	1992	85,148	13,404	98,552
9	1992	85,387	13,333	98,720
10	1992	85,203	13,416	98,619
11	1992	85,063	13,025	98,088
12	1992	84,716	13,283	97,999
1	1993	84,622	13,396	98,018
2	1993	84,654	13,857	98,511
3	1993	84,827	13,815	98,642
4	1993	84,687	13,860	98,547
5	1993	84,274	14,185	98,459
6	1993	83,730	14,395	98,125
7	1993	83,483	14,463	97,946
8	1993	83,306	14,498	97,804
9	1993	82,940	14,170	97,110
10	1993	82,694	13,951	96,645
11	1993	84,590	12,831	97,421
12	1993	83,047	12,901	95,948
1	1994	81,485	14,034	95,519
2	1994	80,886	14,117	95,003
3	1994	80,572	14,065	94,637
4	1994	80,584	13,950	94,534
5	1994	79,337	14,725	94,062
6	1994	79,144	14,846	93,990
7	1994	78,765	14,915	93,680
8	1994	78,786	14,976	93,762
9	1994	78,923	14,224	93,147
10	1994	78,678	14,170	92,848
11	1994	78,060	14,472	92,532
12	1994	77,822	14,617	92,439
1	1995	78,112	13,883	91,995
2	1995	78,095	13,431	91,526
3	1995	78,112	13,313	91,425
4	1995	77,802	13,177	90,979
5	1995	78,053	12,799	90,852
6	1995	78,276	12,704	90,980
7	1995	78,292	12,779	91,071
8	1995	78,335	12,783	91,118
9	1995	78,764	12,519	91,283
10	1995	78,680	12,564	91,244
11	1995	79,104	12,806	91,910
12	1995	79,349	13,260	92,609
1	1996	79,586	13,466	93,052
2	1996	79,807	13,210	93,017
3	1996	79,425	13,231	92,656
4	1996	79,172	13,144	92,316
5	1996	78,456	13,576	92,032
6	1996	78,446	13,722	92,168
7	1996	71,789	13,722	85,511
8	1996	73,716	12,268	85,984
9	1996	72,053	13,607	85,660
10	1996	72,122	13,580	85,702
11	1996	72,287	13,553	85,840
12	1996	74,303	12,296	86,599
1	1997	72,590	13,635	86,225
2	1997	72,365	13,735	86,100
3	1997	72,069	14,177	86,246
4	1997	72,053	14,219	86,272
5	1997	73,134	13,374	86,508
6	1997	73,736	13,512	87,248
7	1997	73,988	13,882	87,870
8	1997	74,977	13,358	88,335
9	1997	73,993	13,800	87,793
10	1997	73,889	13,783	87,672
11	1997	73,893	13,817	87,710
12	1997	74,735	13,568	88,303
1	1998	73,967	13,732	87,699
2	1998	73,534	13,868	87,402
3	1998	73,680	13,889	87,569
4	1998	73,721	13,846	87,567
5	1998	73,386	14,233	87,619
6	1998	73,754	14,322	88,076
7	1998	74,047	14,443	88,490
