Month	Year	Full-time	Part-time	Grand Total
1	1990	61,305	23,580	84,885
2	1990	61,485	23,520	85,005
3	1990	62,244	22,774	85,018
4	1990	63,511	22,917	86,428
5	1990	63,044	23,382	86,426
6	1990	64,704	23,246	87,950
7	1990	65,153	23,659	88,812
8	1990	65,515	23,514	89,029
9	1990	66,899	23,552	90,451
10	1990	67,395	24,190	91,585
11	1990	68,377	24,384	92,761
12	1990	68,379	24,065	92,444
1	1991	68,413	23,739	92,152
2	1991	68,625	23,571	92,196
3	1991	68,138	23,389	91,527
4	1991	68,296	23,360	91,656
5	1991	68,249	23,279	91,528
6	1991	68,384	23,233	91,617
7	1991	67,205	23,362	90,567
8	1991	67,329	23,335	90,664
9	1991	67,387	23,477	90,864
10	1991	68,080	23,372	91,452
11	1991	70,760	23,804	94,564
12	1991	70,890	23,987	94,877
1	1992	70,683	23,894	94,577
2	1992	68,592	24,234	92,826
3	1992	69,259	24,592	93,851
4	1992	69,904	25,173	95,077
5	1992	70,216	25,938	96,154
6	1992	70,095	26,630	96,725
7	1992	70,133	26,849	96,982
8	1992	70,437	27,396	97,833
9	1992	64,718	27,578	92,296
10	1992	64,875	27,651	92,526
11	1992	64,740	28,904	93,644
12	1992	64,817	29,063	93,880
1	1993	65,349	28,570	93,919
2	1993	64,831	28,566	93,397
3	1993	64,733	28,800	93,533
4	1993	65,747	28,981	94,728
5	1993	66,186	29,244	95,430
6	1993	66,415	29,419	95,834
7	1993	66,592	29,666	96,258
8	1993	66,562	29,802	96,364
9	1993	66,655	29,860	96,515
10	1993	66,894	30,505	97,399
11	1993	67,614	32,186	99,800
12	1993	67,726	32,610	100,336
1	1994	67,763	32,225	99,988
2	1994	67,659	32,130	99,789
3	1994	67,453	32,213	99,666
4	1994	67,936	32,817	100,753
5	1994	68,310	33,446	101,756
6	1994	68,776	34,054	102,830
7	1994	69,143	34,488	103,631
8	1994	67,807	34,667	102,474
9	1994	67,986	35,161	103,147
10	1994	68,480	36,442	104,922
11	1994	68,836	39,055	107,891
12	1994	68,086	39,690	107,776
1	1995	68,243	39,126	107,369
2	1995	68,561	38,921	107,482
3	1995	68,964	38,408	107,372
4	1995	69,167	38,069	107,236
5	1995	69,534	38,368	107,902
6	1995	69,756	39,490	109,246
7	1995	69,951	40,485	110,436
8	1995	70,213	41,093	111,306
9	1995	70,787	41,497	112,284
10	1995	71,207	43,471	114,678
11	1995	71,648	45,650	117,298
12	1995	71,806	46,604	118,410
1	1996	71,908	45,500	117,408
2	1996	72,013	45,827	117,840
3	1996	72,214	45,985	118,199
4	1996	72,573	46,905	119,478
5	1996	72,979	47,394	120,373
6	1996	73,395	47,576	120,971
7	1996	73,610	48,094	121,704
8	1996	74,790	48,512	123,302
9	1996	75,103	48,906	124,009
10	1996	74,851	49,634	124,485
11	1996	75,513	50,841	126,354
12	1996	76,556	51,230	127,786
1	1997	76,075	50,171	126,246
2	1997	76,327	50,229	126,556
3	1997	76,861	50,446	127,307
4	1997	77,257	50,714	127,971
5	1997	78,112	50,645	128,757
6	1997	78,804	51,122	129,926
7	1997	79,546	51,472	131,018
8	1997	80,430	52,043	132,473
9	1997	80,631	52,804	133,435
10	1997	83,005	53,869	136,874
11	1997	84,027	55,448	139,475
12	1997	84,638	55,191	139,829
1	1998	85,336	54,594	139,930
2	1998	85,905	54,263	140,168
3	1998	86,462	54,599	141,061
4	1998	87,107	54,515	141,622
5	1998	87,662	54,506	142,168
6	1998	88,281	54,399	142,680
7	1998	88,840	54,339	143,179
8	1998	89,079	54,188	143,267
9	1998	89,322	54,349	143,671
10	1998	89,624	54,282	143,906
11	1998	90,064	55,322	145,386
12	1998	90,039	55,009	145,048
1	1999	90,339	54,260	144,599
2	1999	90,370	53,979	144,349
3	1999	90,707	53,644	144,351
4	1999	91,032	53,817	144,849
5	1999	91,368	53,824	145,192
6	1999	91,798	54,170	145,968
7	1999	92,097	54,070	146,167
8	1999	92,051	54,310	146,361
9	1999	92,515	54,017	146,532
10	1999	92,994	53,976	146,970
11	1999	93,543	55,170	148,713
12	1999	93,599	54,671	148,270
1	2000	93,647	53,756	147,403
2	2000	93,922	54,011	147,933
3	2000	94,468	53,797	148,265
4	2000	95,044	53,483	148,527
5	2000	95,528	53,396	148,924
6	2000	90,603	53,555	144,158
7	2000	91,138	53,375	144,513
8	2000	91,598	53,216	144,814
9	2000	91,980	53,002	144,982
10	2000	92,722	53,180	145,902
11	2000	93,015	53,806	146,821
12	2000	93,073	53,371	146,444
1	2001	93,253	52,059	145,312
2	2001	93,758	51,624	145,382
3	2001	93,989	51,113	145,102
4	2001	94,121	50,820	144,941
5	2001	94,173	49,571	143,744
6	2001	94,245	48,605	142,850
7	2001	94,498	48,443	142,941
8	2001	94,370	48,502	142,872
9	2001	94,192	47,932	142,124
10	2001	94,044	47,810	141,854
11	2001	93,876	47,513	141,389
12	2001	93,710	47,318	141,028
1	2002	93,617	46,575	140,192
2	2002	93,294	46,240	139,534
3	2002	93,110	46,107	139,217
4	2002	93,004	46,146	139,150
5	2002	92,836	45,828	138,664
6	2002	92,860	45,717	138,577
7	2002	92,707	45,530	138,237
8	2002	92,508	45,409	137,917
9	2002	92,335	45,562	137,897
10	2002	92,249	46,279	138,528
11	2002	92,193	47,300	139,493
12	2002	92,003	47,339	139,342
1	2003	91,894	46,476	138,370
2	2003	91,860	46,221	138,081
3	2003	91,756	46,143	137,899
4	2003	91,823	46,050	137,873
